,ig_id,is_HK,updated_following_list_time,details_updated_time,following_list
0,thevoiceofjoshmichaels,Hong Kong,2020-01-01,2022-04-16,yet
1,nwuuu,Hong Kong,2020-01-01,2022-04-16,yet
2,choisaaaa,Hong Kong,2020-01-01,2022-04-16,yet
3,wongtsuiyu,Hong Kong,2020-01-01,2022-04-16,yet
4,heungheungeliza,Hong Kong,2020-01-01,2022-04-16,yet
5,aliaime,Hong Kong,2020-01-01,2022-04-16,yet
6,100mosthk,Hong Kong,2020-01-01,2022-04-16,yet
7,falachenfala,Hong Kong,2020-01-01,2022-04-16,yet
8,yungchoyee,Hong Kong,2020-01-01,2022-04-16,yet
9,teodorta,Hong Kong,2020-01-01,2022-04-16,yet
10,chrissienana,Hong Kong,2020-01-01,2022-04-16,yet
11,appledailyhk,Hong Kong,2020-01-01,2022-04-16,yet
12,natalietong53,Hong Kong,2020-01-01,2022-04-16,yet
13,coffee89921,Hong Kong,2020-01-01,2022-04-16,yet
14,hinscheung,Hong Kong,2020-01-01,2022-04-16,yet
15,sammi_chengsauman,Hong Kong,2020-01-01,2022-04-16,yet
16,elaine_yiu,Hong Kong,2020-01-01,2022-04-16,yet
17,chungkayanlinda,Hong Kong,2020-01-01,2022-04-16,yet
18,misselvani,Hong Kong,2020-01-01,2022-04-16,yet
19,selenaleelalee,Hong Kong,2020-01-01,2022-04-16,yet
20,wong_manman,Hong Kong,2020-01-01,2022-04-16,yet
21,louischeung2013,Hong Kong,2020-01-01,2022-04-16,yet
22,arryuu,Hong Kong,2020-01-01,2022-04-16,yet
23,roxannetong,Hong Kong,2020-01-01,2022-04-16,yet
24,sharonchanmanchi,Hong Kong,2020-01-01,2022-04-16,yet
25,kelllycheung,Hong Kong,2020-01-01,2022-04-16,yet
26,ghlchan,Hong Kong,2020-01-01,2022-04-16,yet
27,missjni,Hong Kong,2020-01-01,2022-04-16,yet
28,gwgurlie86,Hong Kong,2020-01-01,2022-04-16,yet
29,laurinda_ho,Hong Kong,2020-01-01,2022-04-16,yet
30,tracytschu,Hong Kong,2020-01-01,2022-04-16,yet
31,kaytse,Hong Kong,2020-01-01,2022-04-16,yet
32,jacquelinebwong,Hong Kong,2020-01-01,2022-04-16,yet
33,ulifestylehk,Hong Kong,2020-01-01,2022-04-16,yet
34,sammkoling,Hong Kong,2020-01-01,2022-04-16,yet
35,benontheroad,Hong Kong,2020-01-01,2022-04-16,yet
36,sammy903,Hong Kong,2020-01-01,2022-04-16,yet
37,tinyuilee,Hong Kong,2020-01-01,2022-04-16,yet
38,edanlui,Hong Kong,2020-01-01,2022-04-16,yet
39,discoverhongkong,Hong Kong,2020-01-01,2022-04-16,yet
40,jumbotsang,Hong Kong,2020-01-01,2022-04-16,yet
41,shi_ga,Hong Kong,2020-01-01,2022-04-16,yet
42,hkplayndine,Hong Kong,2020-01-01,2022-04-16,yet
43,elvir.aljiceviic,Hong Kong,2020-01-01,2022-04-16,yet
44,ltmptofficial,Hong Kong,2020-01-01,2022-04-16,yet
45,weekendweekly,Hong Kong,2020-01-01,2022-04-16,yet
46,tavia_yeung,Hong Kong,2020-01-01,2022-04-16,yet
47,chan.tsz.ying,Hong Kong,2020-01-01,2022-04-16,yet
48,eddcafe,Hong Kong,2020-01-01,2022-04-16,yet
49,hanatam,Hong Kong,2020-01-01,2022-04-16,yet
50,kungkaty,Hong Kong,2020-01-01,2022-04-16,yet
51,ithk,Hong Kong,2020-01-01,2022-04-16,yet
52,edwinsiu,Hong Kong,2020-01-01,2022-04-16,yet
53,louisa_mak,Hong Kong,2020-01-01,2022-04-16,yet
54,concertyy,Hong Kong,2020-01-01,2022-04-16,yet
55,crystalfyy,Hong Kong,2020-01-01,2022-04-16,yet
56,aimeechan_official,Hong Kong,2020-01-01,2022-04-16,yet
57,love_play_eat_travel,Hong Kong,2020-01-01,2022-04-16,yet
58,rucochan,Hong Kong,2020-01-01,2022-04-16,yet
59,chenchiyiu,Hong Kong,2020-01-01,2022-04-16,yet
60,poortravellers,Hong Kong,2020-01-01,2022-04-16,yet
61,harimaolee,Hong Kong,2020-01-01,2022-04-16,yet
62,jinnyng,Hong Kong,2020-01-01,2022-04-16,yet
63,heidibibe,Hong Kong,2020-01-01,2022-04-16,yet
64,hubertwu,Hong Kong,2020-01-01,2022-04-16,yet
65,iamkingjer,Hong Kong,2020-01-01,2022-04-16,yet
66,hoccgoomusic,Hong Kong,2020-01-01,2022-04-16,yet
67,koonella,Hong Kong,2020-01-01,2022-04-16,yet
68,rebecca_zhu,Hong Kong,2020-01-01,2022-04-16,yet
69,iamlilfroggy,Hong Kong,2020-01-01,2022-04-16,yet
70,stboo,Hong Kong,2020-01-01,2022-04-16,yet
71,tosiukiu,Hong Kong,2020-01-01,2022-04-16,yet
72,discuss_hk,Hong Kong,2020-01-01,2022-04-16,yet
73,hkdryclub,Hong Kong,2020-01-01,2022-04-16,yet
74,wongmanyik,Hong Kong,2020-01-01,2022-04-16,yet
75,kaman_kong,Hong Kong,2020-01-01,2022-04-16,yet
76,lokyilai,Hong Kong,2020-01-01,2022-04-16,yet
77,anjaylia,Hong Kong,2020-01-01,2022-04-16,yet
78,suechangg,Hong Kong,2020-01-01,2022-04-16,yet
79,zozotam1o1o,Hong Kong,2020-01-01,2022-04-16,yet
80,ngk,Hong Kong,2020-01-01,2022-04-16,yet
81,nk830,Hong Kong,2020-01-01,2022-04-16,yet
82,jessieli,Hong Kong,2020-01-01,2022-04-16,yet
83,guruhung,Hong Kong,2020-01-01,2022-04-16,yet
84,joyfulck,Hong Kong,2020-01-01,2022-04-16,yet
85,sisleychoi,Hong Kong,2020-01-01,2022-04-16,yet
86,miyomm,Hong Kong,2020-01-01,2022-04-16,yet
87,lenus_ig,Hong Kong,2020-01-01,2022-04-16,yet
88,dr_maret_lee,Hong Kong,2020-01-01,2022-04-16,yet
89,ufoodhk,Hong Kong,2020-01-01,2022-04-16,yet
90,kwangorrrrrr,Hong Kong,2020-01-01,2022-04-16,yet
