,ig_id,name,ig_description,no_of_post,no_of_follower,no_of_following,profile_img
0,hinscheung,Hins Cheung 張敬軒,"['綽號軒公，人稱柴灣Super J, 叫我柴J得了', 'youtube.com/channel/UCgQqWQM2Dx7SZG5_i40-7lQ']",1703,848000.0,2880,scrap_web_details_image/hinscheung_profile.png
1,captv.hk,CapTV 擷電視,"['TV channel', '擷粵音「kit3」', '鍾意嘅，咪擷囉！', 'Cap Me if you LIKE', 'youtu.be/Q9nrZv8-keE']",3753,218000.0,43,scrap_web_details_image/captv.hk_profile.png
2,huidi_shi,迪,[],71,17900.0,111,scrap_web_details_image/huidi_shi_profile.png
3,mmmorganxz,Morgan Tam,"['𝄢v 𝄢 hell yeah', '@morgantat2 is tat2-ing ✰']",2120,57500.0,1763,scrap_web_details_image/mmmorganxz_profile.png
4,raywychin,Raymond Chin ● $$瑋弦,"['Community', '🇭🇰Hong Kong | 🇬🇧LSE', '🎞35mm & 120 film #菲林 #底片 #フィルム #필름']",1415,71000.0,2078,scrap_web_details_image/raywychin_profile.png
5,dsl_hongkong,dsl_hongkong,"['Fanbase Disilovers_Hongkong', 'Born 29/10/14', 'Resmi 21/02/15', 'Aliando syarief & Prilly latuconsina', 'Group Wa Dsl_hk', '+6287791291198 ARUM', '+8564104004 ERNA', 'youtu.be/Sq0iNZIc-Ak']",8101,51700.0,461,scrap_web_details_image/dsl_hongkong_profile.png
6,ly_joxx,Jonas,"['Artist', '🖊 @jw.tattoo_art', '📸 @dp.asi', 'Job inquiry: jonas@pressplay.cc', 'youtu.be/HVp1mWitugA', 'Followed by zenokoo']",163,90600.0,440,scrap_web_details_image/ly_joxx_profile.png
7,asahina_aya,朝比奈彩（AsahinaAya） 🇯🇵,"['model･talent･actor', 'Netflix\u3000「aliceinborderland 」', '「今際の国のアリス」kuina', '映画「RED SHOES」主演', '2022年秋\u3000公開予定', 'oggi専属モデル\u3000and girl etc....', '【株式会社\u3000生島企画室】', 'YouTube登録してね☻', 'youtube.com/channel/UCJydJSBQ5vTaAn2Qghh6C-g']",1179,931000.0,448,scrap_web_details_image/asahina_aya_profile.png
8,reererre,🌼蘇淼淼🌼,"['Gamer', '真正愛的人怕失去', '不愛的人有持無恐']",688,108000.0,717,scrap_web_details_image/reererre_profile.png
9,unseen,UNSEEN Videos And Pics,"['Your daily dose of unseen Funny, Fail videos and Memes', 'Followed by hinscheung']",686,861000.0,19,scrap_web_details_image/unseen_profile.png
10,chit_chak,小紳士 | 大男孩 | 時尚對談,"['little gentleman | big boy | style talk', 'Info@chit-chak.com', 'facebook: Chit Chak', 'weibo: chitchak']",919,17300.0,786,scrap_web_details_image/chit_chak_profile.png
11,gta5ous,CleanestAutoMotives Elite™,"['Photographer', 'HD Photos', 'Xbox One S']",2429,48400.0,86,scrap_web_details_image/gta5ous_profile.png
12,charmainefong,方皓玟 Charmaine Fong,"['工作洽談請聯絡 Nicole 98526023', 'Strawberry_fields@yahoo.com']",8473,138000.0,991,scrap_web_details_image/charmainefong_profile.png
13,vinaccccccc,Live with a thankful heart ❤️,[],355,7336.0,1144,scrap_web_details_image/vinaccccccc_profile.png
14,kellustration,Kelly Kwok illustration | HK,"['藝術家', '𝐅𝐀𝐒𝐇𝐈𝐎𝐍 𝐀𝐑𝐓𝐈𝐒𝐓', '✤ ʏᴏᴜᴛᴜʙᴇ : @Kellustration', '❈ ᴄᴏɴᴛᴀᴄᴛ : Kellustra@gmail.com', 'www.youtube.com/channel/UCucyq1BzxYrzR3TS2eBTDMQ']",461,10000.0,1031,scrap_web_details_image/kellustration_profile.png
15,arryuu,𝓜𝓸𝓸𝓷 𝓛𝓪𝓾 劉佩玥❥,"['演員', '❥ 𝓢𝓶𝓲𝓵𝓮, 𝓓𝓻𝓮𝓪𝓶 & 𝓛𝓸𝓿𝓮♡', '❥ Work contact: Veronica Ng📞(+852)23352137', '❥ or 💌 Veronica.ng@tvb.com.hk', '❥ or wechat: BleuSapphire', '✿ Youtube channel ↙️', 'www.youtube.com/moonlausmile']",1251,691000.0,396,scrap_web_details_image/arryuu_profile.png
16,honganc,Stephanie Ho 何雁詩,"['音樂家', 'Founder of Mermaid Records est. 2021', 'singer & actress since 2009 🇭🇰', '🇭🇰 golfer since 1998🏌️\u200d♀️', 'For work: Eric W 94536424 ❤️', 'eric@mermaidrecordshk.com', 'youtu.be/JA2TJs_0EQk']",3079,233000.0,1286,scrap_web_details_image/honganc_profile.png
17,vivi_vivianlaw,Vivian Law,"['公眾人物', 'Vivianlaw.ling@gmail.com']",2751,58000.0,539,scrap_web_details_image/vivi_vivianlaw_profile.png
18,seeing2sea,19 🕊,"['All things poetic.', '每天都是一樣的，卻沒有一天重複。', 'asteroid19.wordpress.com']",1197,24000.0,426,scrap_web_details_image/seeing2sea_profile.png
19,sassyhongkong,Sassy Hong Kong,"['🇭🇰 Go-to Guide to all things HK', '🥂 #sosassy #sassyhongkong', '🍜 Daily Plates, Places + Perks', 'linkin.bio/sassyhongkong']",4236,61000.0,2823,scrap_web_details_image/sassyhongkong_profile.png
20,rimazeidan51,ℜimα Ƶeidαn 瑞瑪•席丹 ريما,"['公眾人物', '✞ Proverbs 3:5-6', '「甦醒」👇🏽', 'youtu.be/rPwhERFK6J4']",1362,361000.0,1100,scrap_web_details_image/rimazeidan51_profile.png
21,albee_be,- 豆一粒,"['個人部落格', 'HK 150小巨人🤍', '#兩隻貓的奴才', '#吸塵及美術部 @sunlight_wedding', 'YouTube 我在 @bubblefrienddd 頻道']",459,19000.0,4246,scrap_web_details_image/albee_be_profile.png
22,simon_c,Simon C.,"['Photographer in Hong Kong', 'www.simoncstudio.com']",433,6857.0,1227,scrap_web_details_image/simon_c_profile.png
23,danielwellington,Daniel Wellington,"['Minimalistic and elegant. A timeless classic.', 'Discover our new collections:', 'bit.ly/ShopNewDrops']",8401,4894000.0,244,scrap_web_details_image/danielwellington_profile.png
24,emilylam.ho,Emily Lam Ho . 林恬兒,"['@8shadesofficial 🌎', 'www.8shades.com']",1075,130000.0,133,scrap_web_details_image/emilylam.ho_profile.png
25,tinming7471,Timmy Hung Tin Ming,"['演員', 'Be happy . Peace. Love God', 'www.facebook.com/hungtinmingtimmy']",862,82000.0,246,scrap_web_details_image/tinming7471_profile.png
26,our.daily.hk,OUR. Daily,"['影片創作者', 'When I look at you, I can feel it.', ""I look at you, and I'm home."", '-', 'I come from Hong Kong.']",285,24000.0,3,scrap_web_details_image/our.daily.hk_profile.png
27,neoyau19,游學修 Neo Yau,"['科學家', 'facebook.com/yhsneo']",1665,163000.0,15,scrap_web_details_image/neoyau19_profile.png
28,victoriassecret,Victoria's Secret,['likeshop.me/victoriassecret'],2630,72250000.0,133,scrap_web_details_image/victoriassecret_profile.png
29,asartisticasyou,藝文青｜𝐚𝐬 𝐚𝐫𝐭𝐢𝐬𝐭𝐢𝐜 𝐚𝐬 𝐲𝐨𝐮｜文化藝術雜誌,"['雜誌', '香港實體文化藝術雜誌 · 逢單數月份上旬出版', '推廣文藝 · 鼓勵閱讀 · 支持創作', '——#藝文青3月號 現已上架——', '#程人富 #吳冰〈一個快樂的傳說〉｜#洪嘉豪 #張天賦〈冰與火之歌〉｜#吳家忻 〈蝶變〉', '·', '訂閱表格：', 'linktr.ee/asartisticasyou']",2173,23000.0,209,scrap_web_details_image/asartisticasyou_profile.png
30,jolin_cai,JOLIN CAI 蔡依林,"['UGLY BEAUTY World Tour', 'The Feast of the Broken Hearts!']",1759,4307000.0,2,scrap_web_details_image/jolin_cai_profile.png
31,edwardmusicproduction,edwardmusicproduction,['Instagram of EdwardMusicProduction/Publishing. Follow to go behind the scene of our creative process within tracks n shows. emppublishing@gmail.com'],753,5288.0,323,scrap_web_details_image/edwardmusicproduction_profile.png
32,syanleung,Syan Leung,"['“Create with the heart; Build with the mind.”', 'Founder | Creative & fashion director @mindly.journal', 'He who has a why can bear almost any how.', 'www.syanleung.info']",649,27000.0,1813,scrap_web_details_image/syanleung_profile.png
33,jenniferyuuu,Jennifer Yu 余香凝,"['公眾人物', '余香凝', 'One Cool Jam Cast/ JamMusic 🌸', '@onecooljamcast', '演員 歌手', 'Job inquiries :', '(852) 28026106', 'jamcast@jamcast.com.hk', 'YouTube Channel:', 'youtu.be/qY1jT5mHMkI']",1967,166000.0,680,scrap_web_details_image/jenniferyuuu_profile.png
34,ryanlau88,柳俊江,"['公眾人物', '柳仔跑會院長 / Fluztop店長：生活充滿挫折，更要好好生活', 'www.fluztop.com']",4442,102000.0,1067,scrap_web_details_image/ryanlau88_profile.png
35,elaine_yiu,姚子羚 ℰ𝓁𝒶𝒾𝓃ℯ,"['演員', 'ℒℴ𝓋ℯ 𝒜𝓃𝒾𝓂𝒶𝓁𝓈 𓃰 𝒱ℯℊℯ𝓉𝒶𝓇𝒾𝒶𝓃 ❤︎', '𝐹𝑜𝑟 𝑤𝑜𝑟𝑘 𝑝𝑙𝑠 𝑐𝑜𝑛𝑡𝑎𝑐𝑡 ☏ 𝔼𝕝𝕝𝕒 𝟚𝟛𝟛𝟝𝟚𝟛𝟘𝟝']",2439,824000.0,844,scrap_web_details_image/elaine_yiu_profile.png
36,numberonepr,Francis Cheng 鄭紹康,"['📍 HongKong/Beijing/Shanghai', '📈 Founder & CEO - @NumberOnePRHK', '🌟 PR Marketing Artist Management', '📺 TV Host', '🖌 Columnist', '🎓 HKUMBA', '🥇 francis@numberonepr.hk', 'www.numberonepr.hk']",9873,43000.0,3334,scrap_web_details_image/numberonepr_profile.png
37,mandieskwok,肥蛙工廠總部@mandieskwok (｡･o･｡)🌋,"['個人部落格', '💖心事之地', '▸ 工廠員工IG:📮@53yfp @candies_wawa', '▸ YouTube : mandies kwok肥蛙', '▸ FB : 肥蛙-mandies kwok', '☏訂購和查詢:', '▸只限whatsapp: 52608293 (小助手)', 'mandieskwok.shoplineapp.com']",336,152000.0,3,scrap_web_details_image/mandieskwok_profile.png
38,manyeeb,donnacool,['只有此帳號 其他假冒'],314,66000.0,370,scrap_web_details_image/manyeeb_profile.png
39,kimi_chiuchiu,Kimi Chiu 趙詠瑤,"['公眾人物', '🍞@bakebshark', '🔮@gemplushk', '👶🏻@astro_pun', '⚠️🎞 【Kimi 】3KG巨大珍奶軟糖！就是要雙手捧著直接開啃才最爽！！！', 'Job enquiry: 阿文', 'Wtsapp: +85292315583', 'Wechat: loksheman', 'youtu.be/JHKCt5_IMe4']",2115,165000.0,340,scrap_web_details_image/kimi_chiuchiu_profile.png
40,whitney.hui,許芷熒🔥火🔥火🔥火🔥熒,"['演員', '馮許芷熒 Whitney.Hui.Fung', 'Miss Hong Kong 2011👸', '廚娘👩\u200d🍳 #whitneylovescooking', 'MOM of 馮寶寶', 'Spiritual Healer😇', 'Energy☀️💫⭐️🌞', '前世因，今世果 📿', '1113 Scorpio♏天蠍座']",2169,53000.0,1554,scrap_web_details_image/whitney.hui_profile.png
41,welbychung,Kuen Chung | Welby,"['影片創作者', 'Creator | Director | Producer', '*Chase the Reality*', 'Profile | Crossfade.com.hk @crossfadecreative @teamcrossfade', 'My youtube channel & my Portfolio :', 'linktr.ee/welbychung']",3790,3087.0,1901,scrap_web_details_image/welbychung_profile.png
42,wifiegg,W i - F i E g g 漫 遊 蛋,"['商品／服務', '📶 #香港WiFi #wifiegg #5G直播 #5GLive', '📲 +852 98386686', '📦 速遞送貨', 'linktr.ee/wifiegg']",352,14000.0,1,scrap_web_details_image/wifiegg_profile.png
43,crystalyannie,🍑 Crystal 🍑,"['HK | For Work', '💄 PR - Sulwhasoo 雪花秀, Laneige & AMOREPACIFIC |', 'Please DM 📲 or email at crystal.amorepacific@gmail.com if need ❣️❣️']",10,2648.0,477,scrap_web_details_image/crystalyannie_profile.png
44,emilyszemei,Emilyyyyy,"['👩🏻 Youtuber | Model | TV Host', '📺 ViuTV:《全港的》《全民星戰》', '《個個得把口》《今晚瞓酒店》', '📹 RTHK: 《Harry哥哥好鄰居》系列', '✨My YouTube channel:', 'youtube.com/emilylauszemei']",938,85000.0,885,scrap_web_details_image/emilyszemei_profile.png
45,100mosthk,100毛,"['《100毛》及《毛記電視》', '【毛記電視 最新節目】\u2063\u2063', 'bit.ly/tvmost_yt']",16000,1137000.0,134,scrap_web_details_image/100mosthk_profile.png
46,yehyan426,Tiffany🧝🏻‍♀️野人,"['公眾人物', 'Yoga instructor•200hr RYT', '🌕Moonology🌙', '🧝🏻\u200d♀️Energy Healer', '👼🏻singing bowl therapist🧚🏻', 'facebook.com/yehyan426']",1013,17000.0,880,scrap_web_details_image/yehyan426_profile.png
47,cherrymeme__,CHERRY.C,"['Mother of @aidenhinhin 👦🏻', 'Flower Shop @kakazan.ca', '#flowerslover 💐', '#outfitsofcherry 🤎', '#lovefashion']",2522,19000.0,836,scrap_web_details_image/cherrymeme___profile.png
48,lexituan,段隆臻,"['Entrepreneur @almonddesserthk', '🏂 Snowboard/Ski Instructors🏂', '🏂 Snowboard🏄\u200d♀️Wakesurf🧘\u200d♂️Meditation', '主持 @loveholichk', 'Hair by @davineshongkong @henrytsehk', 'www.youtube.com/channel/UC9YQLVc8aqcaJz7rEri4XuA']",581,11000.0,1787,scrap_web_details_image/lexituan_profile.png
49,pinkicon_shop,Color Con | 隱形眼鏡 | 美瞳 👀,"['✈️Worldwide▶️ @pinkicon_global', '👏🏻超過300款日韓人氣Con選擇🥳', '🚚網站滿指定金額更享免郵', '💖分享試色交流效果:#PinkiconReview', '📍門市地址📲下載【Pinkicon】APP查看', '📱Wtsapp:852 51843122', 'bit.ly/3qziZSk']",5265,74000.0,110,scrap_web_details_image/pinkicon_shop_profile.png
50,hkprideparade,Hong Kong Pride Parade 香港同志遊行 they,"['Official Instagram Account', 'hkpride.net/zh']",598,7939.0,448,scrap_web_details_image/hkprideparade_profile.png
51,goodasgoldliving,Stephanie Good,"['Writer / Spiritual Health and Wellness Life Coach / Wife / Mom / Herbalist / Beer Drinker / Bee Lover / Good Vibes Distributor ✌🏻🍺 🐝', 'goodasgoldliving.com']",4166,67000.0,3396,scrap_web_details_image/goodasgoldliving_profile.png
52,izzue,izzue,"['服裝（品牌）', 'Inspiration #my_izzue_style #liveitreal', '.', 'Shop Now on ITeSHOP & FARFETCH', '.', 'We ship globally 🌎', 'bit.ly/izzue_eShop']",1101,65000.0,9,scrap_web_details_image/izzue_profile.png
53,babyxshadow,BabyShadow 小影 黃亦禧,"['有興趣', 'ʙᴇᴀᴜᴛʏ ғᴀsʜɪᴏɴ ʟɪғᴇsᴛʏʟᴇ', '.', '開箱韓系cafe奶油風300尺小窩居', '🍞 @diary.home', '.', '🏷 babyshadoww@gmail.com', 'youtu.be/p-YOFdF7rJc']",2180,52000.0,903,scrap_web_details_image/babyxshadow_profile.png
54,kirbysau,林秀怡 Kirby Lam,"['公眾人物', '📌Facebook : 林秀怡 Kirby lam', '📌Youtube : Kirby Lam', '💛 @kirbylamofficialfanclub', '💛 @comesaus', '💛 @innerbeautehk', '💛 @foodoonline', 'youtu.be/V8u7n5JRyX0']",4490,70000.0,1236,scrap_web_details_image/kirbysau_profile.png
55,dreamy_touch,ℳ𝒶𝒾𝓂ℴ𝓃𝒶 𝒥𝒶𝓂𝒶𝓁 ℬ𝒶𝒹𝒾,"['攝影師', 'Muslim, Libyan from Misurata 🇱🇾', 'Living in Malaysia 🌿', 'Married 👨\u200d👩\u200d👧\u200d👦', 'Master of Multimedia 2013 📕', 'I use iPhone5s & vivo 1806 📱']",5464,392000.0,249,scrap_web_details_image/dreamy_touch_profile.png
56,paulgoor,Paul Gor 🇹🇼🇭🇰,"['運動休閒', '運動衣服 @verve.tw 折扣碼 vvpaul', '藥師健生活 @phargoods 折扣碼 paulgor', 'YouTube channel 👇🏾👇🏾👇🏾👇🏾', 'youtube.com/c/PaulGor']",3453,68000.0,396,scrap_web_details_image/paulgoor_profile.png
57,w___toko,TOKO,"['舞者', '☀️☁️🌿🌼🕺🐶']",522,2999.0,263,scrap_web_details_image/w___toko_profile.png
58,heidi_fpdrawings.hk,#阿迪畫💛🇭🇰,"['平面設計師', '- 手機及Airpod殼', '- 掛畫相架及Puzzles', '- Totebag', '- 燈箱', '- 鎖匙扣', '- 攬枕', '- 紀念卡', '————————————', 'Founded by 24.12.2018💚', '#connectcard', 'www.instagram.com/heidiii_']",844,10000.0,97,scrap_web_details_image/heidi_fpdrawings.hk_profile.png
59,cheungstanley,張景淳Stanley Cheung,"['演員', 'Hong Kong Actor. TVB Management Artist.', '工作查詢請聯絡: Winnie @winnieszee', '☎23352873 微信:Winniess1205', '💻Winnie.sze@tvb.com.hk']",1070,99000.0,151,scrap_web_details_image/cheungstanley_profile.png
60,vocemagazine,VOCE編集部／美容・コスメ・メイク・ヘア・ネイル,"['新作コスメ情報をいち早くお届け💄#夏コスメ 特集ページオープンしました！！\u3000⚠️ VOCEを名乗る偽アカウントがございます。ご注意ください。ⓒ講談社', 'i-voce.jp/special/summernewcolor']",7749,427000.0,699,scrap_web_details_image/vocemagazine_profile.png
61,wong_manman,黃智雯 Mandy 💞,"['Work Contact: Winnie Sze', '☎️WhatsApp: 95457447', '💌email: Winnie.sze@tvb.com.hk', '👑WeChat: Winniess1205', 'FB : https://m.facebook.com/mandy.wongmanman/', 'youtu.be/LG-dfulYwyw']",1502,756000.0,412,scrap_web_details_image/wong_manman_profile.png
62,hungrytv.hk,餓底TV,"['餓底TV成立於2021年6月，', '由幾位成日肚餓嘅「餓底」組成。', 'Stay Hungry，Stay Foolish。', '世界再壞，都要食飯。', '有咩事，食飯再講。', '📩 hungrytvhk@gmail.com', 'linktr.ee/hungrytvhk']",317,101000.0,19,scrap_web_details_image/hungrytv.hk_profile.png
