ig_id,profile_img,Freq_Day_post,image_sum_comment,image_sum_like_view,image_mean_comment,image_mean_like_view,video_sum_comment,video_sum_like_view,video_sum_comment,video_sum_like_view,video_sum_comment,video_sum_like_view,no_of_hashtag,no_of_content_words,no_of_emoji,no_of_post_alt_words,profile_img_array,image_html_link,image_html_link,Added_HK_IG,political_words,Hong_Kong_words,Food_words,Beauty_words,Sport_words,Travel_words,Music_words,Education_words,Art_words,Acting_words
100mosthk,scrap_web_details_image/100mosthk_profile.png,0.3076851851851852,3623.0,649414.0,150.95833333333334,27058.916666666668,36.0,3081.0,36.0,3081.0,36.0,3081.0,34.0,17123.0,31.0,12535.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08114DD30>,"<img src=""scrap_web_details_image/100mosthk_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/100mosthk_profile.png"" width=""60"" >",0,1.0,8.0,5.0,0.0,6.0,11.0,3.0,8.0,0.0,10.0
28kkss,scrap_web_details_image/28kkss_profile.png,0.0,,,,,17.0,1071.0,17.0,1071.0,17.0,1071.0,0.0,15.0,3.0,6.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081165850>,"<img src=""scrap_web_details_image/28kkss_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/28kkss_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53yfp,scrap_web_details_image/53yfp_profile.png,5.368414351851852,2217.0,517000.0,116.6842105263158,27210.526315789477,,,,,,,16.0,5012.0,30.0,5134.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081153B50>,"<img src=""scrap_web_details_image/53yfp_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/53yfp_profile.png"" width=""60"" >",0,0.0,5.0,0.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0
6ixty8ight68,scrap_web_details_image/6ixty8ight68_profile.png,0.0,,,,,20.0,1213.0,20.0,1213.0,20.0,1213.0,5.0,513.0,3.0,278.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08115E850>,"<img src=""scrap_web_details_image/6ixty8ight68_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/6ixty8ight68_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6sussim,scrap_web_details_image/6sussim_profile.png,0.0,,,,,,,,,,,,,,,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08115E8E0>,"<img src=""scrap_web_details_image/6sussim_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/6sussim_profile.png"" width=""60"" >",0,,,,,,,,,,
79hkartist,scrap_web_details_image/79hkartist_profile.png,0.0,,,,,6.0,603.0,6.0,603.0,6.0,603.0,23.0,540.0,1.0,215.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08116D280>,"<img src=""scrap_web_details_image/79hkartist_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/79hkartist_profile.png"" width=""60"" >",0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
903ahjeng,scrap_web_details_image/903ahjeng_profile.png,0.0,,,,,10.0,689.0,10.0,689.0,10.0,689.0,1.0,252.0,2.0,252.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081165E50>,"<img src=""scrap_web_details_image/903ahjeng_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/903ahjeng_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_chellechan,scrap_web_details_image/_chellechan_profile.png,3.4166666666666665,14.0,478.0,1.1666666666666667,39.833333333333336,,,,,,,0.0,4443.0,18.0,4219.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08127CBE0>,"<img src=""scrap_web_details_image/_chellechan_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/_chellechan_profile.png"" width=""60"" >",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_kisang_,scrap_web_details_image/_kisang__profile.png,2.692303240740741,12019.0,795000.0,600.95,39750.0,44.0,6120.0,44.0,6120.0,44.0,6120.0,72.0,10410.0,83.0,9635.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081174BB0>,"<img src=""scrap_web_details_image/_kisang__profile.png"" width=""60"" >","<img src=""scrap_web_details_image/_kisang__profile.png"" width=""60"" >",0,0.0,9.0,1.0,17.0,2.0,1.0,8.0,0.0,0.0,1.0
_marimadrid,scrap_web_details_image/_marimadrid_profile.png,6.285706018518519,762.0,90382.0,84.66666666666667,10042.444444444443,4.0,84.0,4.0,84.0,4.0,84.0,7.0,12023.0,2.0,8540.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081284F40>,"<img src=""scrap_web_details_image/_marimadrid_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/_marimadrid_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
