,ig_id,Category,influence_index,rating,suggest
0,hinscheung,Art,,,"['lam2', 'misselvani', 'zelia', 'jayfungmusic', 'jackhero5', 'wong_manman', 'kaytse', 'janice_vidal', 'owencheung', 'nk830', 'yannyyc', 'jumbotsang', 'rucochan', 'yungchoyee', 'jessicatsoi', 'rosinalam', 'q_gill', 'joelshanchung', 'terencelam0903', 'iamkingjer', 'physit', 'saxyphil', 'kendalljenner', 'yuenkaka', 'joyfulck', 'siobhanhaughey01', 'jaychou', 'yumiko.chengy', 'taylorswift', 'yingcaier', 'paisleyhu', 'maglam_', 'zozotam1o1o', 'hoccgoomusic', 'laurinda_ho', 'momong629', 'pomatohk', 'suechangg', 'sammy903', 'mcshing', 'trialanderror924', 'kathychow520', 'kayeepo', 'kb_kevinboy', 'jeremy_0908', 'kayan9896', 'kevyiu', 'wong_cho_lam', 'hubertwu', 'mayannem', 'therivergirl', 'stephanie_cheng', 'yuduck', 'rainie77', 'sabrinasa', 'quicheung', 'pantherchan', 'hoi1218', 'voguemagazine', 'jenniferyuuu', 'tavia_yeung', 'kwangorrrrrr', 'lokyilai', 'mcheung1201', 'roxannetong', 'lihkg.forum', 'mirror.weare', 'yuyanpeng', 'sandrangky', 'malisheep', 'ithk', 'leungpakkin', 'punkhippie', 'vincentwong07', 'yawen_j', 'prada', 'sqwhat', 'tysonyoshi', 'jwchubz', 'pumpkinjojoinstagram', 'nwuuu', 'scarlett328', 'leungmanlai', 'wongtsuiyu', 'kayeechau', 'kennyjr', 'siuhinng', 'numberonepr', 'viutv', 'sammkoling', 'leonardodicaprio', 'stboo', 'nikehkg', 'meikiw', 'tracytschu', 'sammi_chengsauman', 'sooyaaa__', 'lightboy903', 'lok666', 'l_for_louise', 'i_am_kiko', 'kootinlok_louis', 'jimyan', 'yautaitung', 'karl_ting', 'shi_ga', 'lulutung', 'lam1hey', 'sofiee_ng', 'kaman_kong', 'roses_are_rosie', 'louischeung2013', 'jacquelinebwong', 'thatdanielwu', 'vvyeo', 'janice_man', 'lukhoo', 'jennierubyjane', 'stephaniehsau', 'honganc', 'sisleychoi', 'uglykwan', 'laiwinki', 'siufay613', 'mayaoo', 'natalietong53', 'rahrahsong', 'stanleysc_', 'missjni', 'lucy.is.good', 'michellewsn', 'jeremylaous', 'locker_94', 'kittyyuen', 'matthew_hkp', 'hui_alfred', 'joeythyee', 'sharonchanmanchi', 'snow711', 'keung_show', 'louisvuitton', 'mirandakerr', 'wang_liza', 'ngk', 'lalalalisa_m', 'wongmanyik', 'kevinstarkchu', 'kungkaty', 'yeungchinwah', 'lawjoey', 'janlamb_09', 'minchen333', 'juno_mak', 'real_ting', 'jinnyng', 'jacechw', 'mreasonchan', 'jolin_cai', 'koonella', 'william_gung', 'kandybubu', 'tvbcomhk', 'princejoyce', 'rebecca_zhu', 'louisa_mak', 'manner__official', 'kelllycheung', 'yeunghatou', 'maisonvalentino', 'myoliemyolie', 'tosiukiu', 'wongyuenb', 'kearenpang', 'tinyuilee', 'on_callstar', 'k_p0k1', 'yiplinsum', 'kellychenwailam', 'neoyau19', 'lauchunhim.terrance', 'victoriabeckham', 'selenaleelalee', 'karenalamkayan', 'iancychan', 'kakisham', 'wongyounam']"
1,captv.hk,Art,372.14493189650574,A,
2,huidi_shi,Art,33.11494701179208,D,
3,mmmorganxz,Art,96.67380778729016,C,
4,raywychin,Art,128.95405917307565,C,
5,dsl_hongkong,,94.72128981288256,C,
6,ly_joxx,Art,153.40326738182688,B,
7,asahina_aya,Art,1692.7807123177724,A,
8,reererre,Art,191.86816440534787,B,
9,unseen,,1572.3398380824444,A,
10,chit_chak,,30.322379714027008,D,
11,gta5ous,,88.48311521825396,D,
12,charmainefong,Art,257.49088116266586,B,"['misselvani', 'concertyy', 'yeungchinwah', 'sammi_chengsauman', 'kaytse', 'jinnyng', 'quicheung', 'hinscheung', 'koonella', 'yannyyc', 'princejoyce', 'louischeung2013', 'cherrysavor', 'yungchoyee', 'punkhippie', 'wongyuenb', 'iamkingjer', 'physit', 'sqwhat', 'gwgurlie86', 'maglam_', 'sammy903', 'kittyyuen', 'hui_alfred', 'ckw720']"
13,vinaccccccc,Art,13.047383684042842,D,
14,kellustration,Travel,,,
15,arryuu,Art,1238.5732680648755,A,"['misselvani', 'bella_lam', 'jackhero5', 'wong_manman', 'kaytse', 'owencheung', 'herachann', 'bob_lamshingbun', 'yungchoyee', 'rosinalam', 'joelshanchung', 'iamkingjer', 'itstiffanylau', 'paisleyhu', 'zozotam1o1o', 'momong629', 'ccandice.c', 'sammy903', 'heungheungeliza', 'kayeepo', 'hubertwu', 'mayannem', 'chungkayanlinda', 'yuduck', 'cheungwinghong', 'hoi1218', 'kwangorrrrrr', 'lokyilai', 'roxannetong', 'brianchu0523', 'punkhippie', 'vincentwong07', 'gloriapuiyeetang', 'lisa_chng', 'jwchubz', 'choisaaaa', 'gwgurlie86', 'nwuuu', 'wongtsuiyu', 'brian_tsetse', 'numberonepr', 'sammkoling', 'chenchiyiu', 'tracytschu', 'falachenfala', 'sammi_chengsauman', 'chanelofficial', 'hinscheung', 'shi_ga', 'kaman_kong', 'louischeung2013', 'jacquelinebwong', 'vvyeo', 'benontheroad', 'lukhoo', 'elaine_yiu', 'sisleychoi', 'laiwinki', 'natalietong53', 'crystalfyy', 'missjni', 'edwinsiu', 'ghlchan', 'matthew_hkp', 'snow711', 'joeythyee', 'chrissienana', 'sharonchanmanchi', 'wang_liza', 'derekwong726', 'heidibibe', 'kungkaty', 'lawjoey', 'jinnyng', 'kandybubu', 'do_do_cheng', 'chakwilliam', 'princejoyce', 'rebecca_zhu', 'louisa_mak', 'kelllycheung', 'yeunghatou', 'jacquelinchng', 'myoliemyolie', 'selenaleelalee', 'guruhung', 'fattung924']"
