,influence_index,rating
victoriassecret,132945.25406220448,A
layzhang,25280.24229089625,A
kyo1122,25107.250469627095,A
danielwellington,8471.050095761759,A
jolin_cai,7583.2408658634995,A
gracechowwwww,4261.660670837184,A
cedricgrolet,4021.630403951252,A
margaretzhang,2762.092969536599,A
nwuuu,2657.95675194602,A
theworlds50best,2565.5355371432775,A
nigo,2448.068092878962,A
choisaaaa,2345.648722993437,A
tortikannuchka,2084.0851091278723,A
ltmptofficial,1759.5207094448406,A
coffee89921,1746.784120284967,A
kinjaz,1714.127912956745,A
asahina_aya,1692.7807123177724,A
theartofplating,1614.8903837449789,A
unseen,1572.3398380824444,A
elaine_yiu,1465.518559930673,A
misselvani,1464.7350683565974,A
wong_manman,1332.5732514165206,A
arryuu,1238.5732680648757,A
missjni,1233.864121681952,A
roxannetong,1215.023170482363,A
laurinda_ho,1147.4312708295088,A
heyclaire,1142.056061591164,A
ulifestylehk,1127.610004783808,A
tracytschu,1074.1127172570878,A
jumbotsang,1056.8203855464883,A
refife.official,1020.0808776915787,A
jacquelinebwong,957.1260258189913,A
sophiachang,942.521719464897,A
discoverhongkong,941.6124340200838,A
tinyuilee,911.5540718632925,A
weekendweekly,889.2379656766919,A
aimeechan_official,875.8162124721315,A
jam_cutepig,821.044518580363,A
vocemagazine,795.8814939858821,A
hoccgoomusic,756.5503776278074,A
dreamy_touch,731.4233725780008,A
crystalfyy,730.6814393622903,A
viutv,704.1694250516454,A
rimazeidan51,641.3371050956501,A
puinam,632.3826666383416,A
umagazinehk,612.0777174834642,A
sabrinapingping_,601.9839572653237,A
zozotam1o1o,601.7959149232404,A
dr_maret_lee,574.5406161187349,A
lokyilai,572.3890138014626,A
joelshanchung,570.4225433810719,A
guillaumemabilleau,541.5326522758426,A
carlhoudee,501.7979848922066,A
second_kill,492.3367626520831,A
dulahoop12,459.5322943651835,A
moviematic,450.5139244872389,A
loktungcilla,446.9047144218141,A
tungtungdess,445.4283915056064,A
utravel,445.3164075750199,A
_marimadrid,437.50847296594833,A
liliankan,435.9103358255371,A
hongkong_doll,430.50116609415386,A
